dateq,equally weighted
2000q1,99.39207762
2000q2,100.668112
2000q3,100.1173667
2000q4,99.82244365
2001q1,100.0428223
2001q2,99.90667819
2001q3,100.3547887
2001q4,101.0334377
2002q1,102.0921732
2002q2,103.3256869
2002q3,105.0565245
2002q4,105.0403893
2003q1,105.9588032
2003q2,107.3760283
2003q3,108.9116326
2003q4,111.125261
2004q1,113.8003206
2004q2,115.7038716
2004q3,117.1648312
2004q4,118.9984548
2005q1,121.2704062
2005q2,123.2470869
2005q3,125.1363298
2005q4,127.2086746
2006q1,128.9521616
2006q2,131.3416686
2006q3,133.8976139
2006q4,136.8180878
2007q1,139.413033
2007q2,142.2799664
2007q3,144.4292072
2007q4,144.8303922
2008q1,144.22957
2008q2,144.1884113
2008q3,143.0723811
2008q4,139.6424746
2009q1,135.4611634
2009q2,134.2670667
2009q3,134.9107813
2009q4,135.1251616
2010q1,135.7235953
2010q2,136.3944892
2010q3,136.3608869
2010q4,135.5744243
2011q1,134.8303791
2011q2,134.9668223
2011q3,134.7510817
2011q4,133.3273307
2012q1,133.2978632
2012q2,133.6335982
2012q3,133.732842
2012q4,133.569619
2013q1,133.6029271
2013q2,134.7148848
2013q3,135.5176407
2013q4,136.032558
2014q1,136.8992186
2014q2,138.3356132
2014q3,139.2293251
2014q4,139.5347578
2015q1,141.0382411
2015q2,142.1162025
2015q3,143.1002707
2015q4,143.4563058
2016q1,144.7064534
2016q2,146.5833728
2016q3,148.1982264
2016q4,149.1423781
2017q1,149.4473833
2017q2,151.5966817
2017q3,152.8171872
2017q4,153.1915685
2018q1,154.1839297
2018q2,155.449255
2018q3,156.0098953
2018q4,156.1862805
2019q1,157.2031759
2019q2,157.9761202
2019q3,159.3880829
2019q4,160.0066198
2020q1,161.7671238
2020q2,163.7716603
2020q3,164.7024464
2020q4,167.1901385
2021q1,169.5304931
2021q2,172.4859914
2021q3,174.6937932
2021q4,176.0585329
